Address,Price,Beds,Baths,SqFt,Latitude,Longitude,Property Type,Year Built,Amenities,Cluster_ID,Neighborhood,Listing ID,Address 2,City,State,Zip,Formatted Address
220 N Hamilton St,1235,3.0,1.0,626.0,42.244596,-83.617104,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
813 E Michigan Ave,925,,1.0,570.0,42.24258,-83.597137,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
655 Villa Dr,1250,2.0,1.0,870.0,42.258046,-83.621225,Apartment,,,4,Ypsilanti Charter Township,,,Ypsilanti,MI,,
498 1st Ave,1450,3.0,2.0,1484.0,42.232401,-83.626158,Single Family,,,0,Midtown,,,Ypsilanti,MI,,
515 N Congress St,995,1.0,1.0,,42.240793,-83.620128,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
813 E Michigan Ave,979,,,734.0,42.24258,-83.597137,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
57 Harvey Pl,895,1.0,1.0,603.0,42.249408,-83.559947,Apartment,,,7,West Willow,,,Ypsilanti,MI,,
470 Hawkins St,1600,3.0,1.0,1500.0,42.233796,-83.621935,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
317 Ecorse Rd,1100,,1.0,1000.0,42.236641,-83.596275,Condo,,,5,Miles/Garland,,,Ypsilanti,MI,,
513 Pearl St,1560,3.0,1.0,1050.0,42.241814,-83.620293,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
923 W Cross St,2200,4.0,1.5,,42.245295,-83.626865,Single Family,,,0,Midtown,,,Ypsilanti,MI,,
407 Washtenaw Ave,750,3.0,1.0,900.0,42.243446,-83.618042,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
407 Washtenaw Ave,798,2.0,1.0,900.0,42.243446,-83.618042,Apartment,,,0,Midtown,,,Ypsilanti,MI,,
5864 Willow Ridge Dr,2750,3.0,2.5,2000.0,42.203168,-83.678892,Single Family,2004.0,,3,Pittsfield Charter Township,,,Ypsilanti,MI,,
